# t/ms U/kV y_err/kV
0.000000000000000000e+00 2.161045070492025655e+00 3.909965337798982365e-01
1.256637061435917357e-01 1.718769953942524076e+00 2.987952205754670354e-01
2.513274122871834715e-01 2.198864670046564829e+00 4.274535032540041080e-01
3.769911184307752072e-01 2.242978947015612956e+00 4.440193853868791285e-01
5.026548245743669430e-01 2.339917368291413169e+00 2.490237419836980604e-01
6.283185307179586232e-01 2.397365486369036347e+00 2.835304082649507951e-01
7.539822368615504145e-01 2.945962390088274763e+00 3.774066901087603787e-01
8.796459430051422057e-01 1.922484717439015389e+00 3.453321683056777558e-01
1.005309649148733886e+00 2.355236900950638201e+00 3.666453556524054136e-01
1.130973355292325566e+00 1.203824839995597751e+00 3.101780518697936917e-01
1.256637061435917246e+00 1.261093516200663567e+00 4.386206313392677081e-01
1.382300767579509149e+00 1.127933037500051583e+00 4.297972844717988239e-01
1.507964473723100829e+00 9.067426838016430235e-01 3.727699295554238179e-01
1.633628179866692509e+00 6.395950536578194345e-01 4.609103337930983701e-01
1.759291886010284411e+00 2.624795203572763413e-01 4.039362818917215381e-01
1.884955592153876092e+00 -5.160127705646087026e-01 3.097906622800865040e-01
2.010619298297467772e+00 -9.089221203842645647e-01 3.960361265672756592e-01
2.136283004441059674e+00 -7.396709180214022794e-01 3.036812886368591702e-01
2.261946710584651132e+00 -1.305378175410353281e+00 4.385375053824953073e-01
2.387610416728243035e+00 -1.846397593682352678e+00 3.642243765365056896e-01
2.513274122871834493e+00 -1.877156914117775077e+00 3.545263971594280195e-01
2.638937829015426395e+00 -1.794195158312924310e+00 3.210411699177000977e-01
2.764601535159018297e+00 -1.218277572183685153e+00 4.697795521614074876e-01
2.890265241302609756e+00 -1.284708313465195539e+00 3.566836956882356025e-01
3.015928947446201658e+00 -9.210001495972823804e-01 3.376769653088942391e-01
3.141592653589793560e+00 -1.060702337578290244e+00 3.428621834440582772e-01
3.267256359733385018e+00 -5.592914654216779580e-01 4.092053531956904577e-01
3.392920065876976921e+00 -4.670318284795291208e-02 3.957742970627119994e-01
3.518583772020568823e+00 -5.988130573795728828e-02 3.995351719681333180e-01
3.644247478164160281e+00 6.203376688323043453e-01 4.009831793159320812e-01
3.769911184307752183e+00 4.391577705363662321e-01 5.645815284741450002e-01
3.895574890451343641e+00 1.054342460546991767e+00 3.391601028568692611e-01
4.021238596594935544e+00 1.391324079941007152e+00 3.320570306292167095e-01
4.146902302738527446e+00 1.448775728185438982e+00 3.126238570872242328e-01
4.272566008882119348e+00 2.282944450744823772e+00 4.161106304540107548e-01
4.398229715025710362e+00 2.065585741194713165e+00 4.610699364825332491e-01
4.523893421169302265e+00 2.425080137320436702e+00 3.595904652797972112e-01
4.649557127312894167e+00 2.640625834815240047e+00 3.109785639474204610e-01
4.775220833456486069e+00 2.630421574650751992e+00 3.119550278282262612e-01
4.900884539600077971e+00 2.699384545159086990e+00 4.190012220676317956e-01
5.026548245743668986e+00 2.239975635431833201e+00 4.268386671832799517e-01
5.152211951887260888e+00 1.906717973480348549e+00 4.100938896560625269e-01
5.277875658030852790e+00 1.796951853677252631e+00 3.220327786858321328e-01
5.403539364174444692e+00 8.678454039578774593e-01 3.853636922572502010e-01
5.529203070318036595e+00 6.325429701205064204e-01 3.765656649048330640e-01
5.654866776461628497e+00 3.045201396545580419e-01 3.843267100691437066e-01
5.780530482605219511e+00 4.620595485410050607e-04 4.379220973262598626e-01
5.906194188748811413e+00 2.175082892104510113e-01 3.847040697546805221e-01
6.031857894892403316e+00 -6.758476720320695241e-01 4.213812439988323111e-01
6.157521601035995218e+00 -7.651780451577729902e-01 3.728853847301373259e-01
6.283185307179586232e+00 -4.078020370794647187e-01 3.897787064494944165e-01
