# r    U     PA LI LP
# cm   V
   9.0 5.28  10  2 1
   9.5 4.32  10  2 1
  10.0 3.44  10  2 1
  10.5 2.80  10  2 1
  11.0 2.32  10  2 1
  11.5 1.92  10  2 1
  12.0 1.64  10  2 1
  12.5 1.40  10  2 1
  13.0 1.18  10  2 1
  13.5 1.02  10  2 1
  14.0 0.860 10  2 1
  14.5 0.750 10  2 1
  15.0 0.672 10  2 1
  15.5 0.592 10  2 1
  16.0 0.520 10  2 1
  16.5 0.464 10  2 1
  17.0 0.416 10  2 1
  17.5 0.368 10  2 1
  18.0 0.352 10  2 1
  18.5 0.308 10  2 1
  19.0 0.284 10  2 1
  19.5 0.260 10  2 1
  20.0 0.244 10  2 1
  21.0 0.212 10  2 1
  22.0 0.182 10  2 1
  23.0 0.160 10  2 1
  24.0 0.144 10  2 1
  25.0 1.36  20 10 1
  26.0 1.20  20 10 1
  27.0 1.08  20 10 1
  28.0 0.980 20 10 1
  29.0 0.900 20 10 1
  30.0 0.810 20 10 1
  40.0 0.408 20 10 1
  50.0 0.244 20 10 1
  60.0 2.00  20 10 1
  70.0 1.49  50 50 1
  80.0 1.08  50 50 1
  90.0 0.840 50 50 1
 100.0 0.660 50 50 1
 110.0 0.552 50 50 1
 120.0 0.464 50 50 1
 130.0 0.400 50 50 1
 140.0 0.344 50 50 1
 150.0 0.324 50 50 1
