"Zeitstempel","Betriebssystem","Programmierkentnisse","Programmiersprachen","Mich interessiert besonders","Mich interessiert außerdem","Weitere Anmerkungen"
"2016/07/05 11:30:48 vorm. OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/07/05 2:54:48 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib","",""
"2016/07/06 12:21:37 nachm. OEZ","Windows","schon mal programmiert, auch in Python","C++, Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/07/06 12:24:15 nachm. OEZ","Windows","schon mal programmiert, auch in Python","Java, Lua, C++","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/07/06 2:10:26 nachm. OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/07/06 3:23:01 nachm. OEZ","MacOS","schon mal programmiert, aber noch nicht in Python","C++, C#, Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/07/06 4:12:56 nachm. OEZ","Debian/Ubuntu","schon mal programmiert, auch in Python","Python, C, C++, LabView","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/07/07 8:21:27 nachm. OEZ","Debian/Ubuntu","schon mal programmiert, aber noch nicht in Python","C++, Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/07/07 9:28:18 nachm. OEZ","Debian/Ubuntu","schon mal programmiert, aber noch nicht in Python","C, C++","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/07/08 1:56:08 nachm. OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
