"Zeitstempel","Betriebssystem","Programmierkentnisse","Programmiersprachen","Mich interessiert besonders","Mich interessiert außerdem","Weitere Anmerkungen","Ich möchte zum ""Betreuten Installieren"" kommen"
"2019/06/25 8:18:44 AM OEZ","Windows","schon mal programmiert, auch in Python","C;Python;JavaScript;Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","",""
"2019/06/25 9:39:16 AM OEZ","Windows","schon mal programmiert, auch in Python","C;C++;Python;Java","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib","","",""
"2019/06/25 1:33:02 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C;C++;Java;Haskell;Pascal","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Qualitativ hochwertige Plots erstellen mit Matplotlib","LateX Ausgaben mit Python Skripten/Auswertungen generieren","",""
"2019/06/26 12:16:48 PM OEZ","MacOS","schon mal programmiert, aber noch nicht in Python","C;C++","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib","","",""
"2019/07/03 7:09:05 PM OEZ","Debian/Ubuntu","schon mal programmiert, auch in Python","C;C++;Python","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","",""
"2019/07/04 12:27:53 AM OEZ","MacOS","schon mal programmiert, aber noch nicht in Python","C++;Java;HTML","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","",""
"2019/07/05 5:00:45 PM OEZ","Windows","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile","","",""
"2019/07/05 6:11:58 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++;Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","",""
"2019/07/07 11:52:15 AM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","JavaScript","Versuchsauswertung mit Python / Numpy / Scipy","","",""
"2019/07/07 12:25:28 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++;Java","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","",""
