Timestamp	Programmierkenntnisse	Programmiersprachen	Mich interessieren besonders	Betriebssystem	Mich interessiert außerdem	Weitere Anmerkungen
7/19/2014 2:05:26	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)		Umgang mit der Kommandozeile (bash), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)	Windows		
7/20/2014 10:43:46	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C+	Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy)	Windows		
7/20/2014 10:55:38	noch nie Programmiert		Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy)	Windows		Warum macht ihr den Latexkurs nicht vorher? Ich erinnere mich, dass (gerade für Medphys oder Leute, die noch nie wirklich programmiert haben etc.) der Einstieg wesentlich schwerer war, weil keiner wusste, wozu man das alles braucht und auch noch keiner Ahnung hatte, was Latex ist. Nachdem man dann Latex halbwegs verstanden hat, war einiges klarer. Daher vlt ne Überlegung wert?  Ich würd gern (erneut) am Pythen-Kurs mitmachen (war letztes Jahr alles ein wenig viel auf einmal), der Kurs kollidiert aber leider mit einer Prüfung am 23.09. Würdet ihr die Kurse tauschen, hättet ihr mich (und andere) glücklich gemacht :D
7/20/2014 11:20:17	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++, Java, Haskell	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)	Anderes Linux		
7/21/2014 0:15:36	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	Java, C, C++	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy)	Ubuntu		
7/21/2014 4:34:12	bereits in Python programmiert	PHP, JAVA, C++	Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy)	Windows		
7/21/2014 9:49:05	noch nie Programmiert			Windows		
7/21/2014 12:16:23	noch nie Programmiert		Protokolle automatisiert und reproduzierbar erstellen (make)	Windows		
7/21/2014 12:26:56	noch nie Programmiert		Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)	Ubuntu		
7/21/2014 13:21:17	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	PHP, Java	Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Zusammenarbeit mittels Versionskontrolle (git)	Anderes Linux		Mglw. Terminkollision mit dem Klinikpraktikum (zweites Semester, Medizinphysik). Physik-Dekan weiß Bescheid.
7/21/2014 16:58:13	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)		Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)	Ubuntu		
7/22/2014 1:05:08	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	c++	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)	Windows		26.09. 8:00 bis 9.30 höma 2 Klausur
