Timestamp	Betriebssystem	Erfahrung mit LaTeX	Mich interessiert besonders	Weitere Anmerkungen
7/19/2014 2:06:36	Windows	noch nie gehört		
7/21/2014 0:17:28	Ubuntu	mal probiert		
7/21/2014 9:48:30	Windows	mal probiert		
7/21/2014 12:11:44	Windows	noch nie gehört		
7/21/2014 12:25:57	Windows	noch nie gehört		
7/21/2014 13:22:10	Ubuntu	mal probiert		
7/21/2014 14:32:35	Windows	noch nie gehört		
7/22/2014 1:03:19	Windows	noch nie gehört		
7/22/2014 11:18:08	OS X	TeXpert	Literaturverzeicnis, Quellenhinweise aus Internetdatenbanken	
7/22/2014 23:10:29	Windows	noch nie gehört		ggf. HM2 Klausur 26.09.2014 8:00 bis 9:30 Uhr
7/24/2014 1:20:12	OS X	noch nie gehört		
7/24/2014 8:05:42	Windows	noch nie gehört		
7/25/2014 16:58:17	Windows	TeXpert	alles, was man braucht, um ein halbwegs vernünftiges Protokoll zu erstellen, also insbesondere Mathematiksatz (auch mit Einheiten und Indizes) und Umgang mit bzw. Erstellen von Grafiken und Tabellen und natürlich Empfehlungen zum Ruterladen und Installien von LaTeX und Editoren, etc.	für kommende Drittsemester findet in der Woche immer die Praktikumseinführungsveranstaltung von 08:30 bis 12:00 h statt
7/25/2014 18:08:56	Windows	noch nie gehört		
7/27/2014 6:42:00	Windows	noch nie gehört	PDF Datein, erstellen und bearbeiten	
7/28/2014 7:16:46	Windows	mal probiert		
7/31/2014 4:03:29	Windows	mal probiert		
8/1/2014 14:57:06	OS X	mal probiert		
8/3/2014 4:12:47	Windows	mal probiert	Anlegen von komplexen diagrammen (verknüpfe textboxen usw.) Einbinden von grafiken Gliederungsbefehle(kapitel, unterkapitel, dokumentenklassen...)	
8/14/2014 11:45:20	Windows	noch nie gehört		
8/17/2014 0:12:31	Windows	noch nie gehört		
8/17/2014 8:54:50	Windows	mal probiert		
8/18/2014 5:27:19	Windows	noch nie gehört	Erstellen und Schreiben von Bericht bzw. Dokumenten.	Orientierungspraktikum im September. Genaue Uhrzeit vom Praktikum sind mir noch nicht bekannt.
8/20/2014 2:10:28	Windows	mal probiert		
8/26/2014 1:41:29	Windows	mal probiert		
8/28/2014 5:40:01	Ubuntu	noch nie gehört	Grundlagen mit LaTex	
8/31/2014 13:27:38	OS X	mal probiert		
9/1/2014 3:55:48	Windows	noch nie gehört		
9/2/2014 1:24:31	Windows	noch nie gehört		
9/4/2014 1:17:43	Windows	noch nie gehört		
9/5/2014 4:12:11	Windows	noch nie gehört		
9/5/2014 8:40:02	Windows	noch nie gehört		
9/8/2014 17:22:10	Ubuntu	mal probiert		
9/10/2014 3:45:35	Windows	noch nie gehört		
9/13/2014 11:19:02	Windows	noch nie gehört	Einfache Mathematische und Physikalische Ausdrücke Tippen können.	
9/14/2014 3:55:48	Windows	noch nie gehört		
9/14/2014 11:37:36	Ubuntu	noch nie gehört		
9/15/2014 7:05:20	Windows	noch nie gehört	Umgang mit LaTex, wie es mir Physikberichte erleichtern kann und wo man sich dafür anemdlen kann.	
9/16/2014 8:13:17	Windows	noch nie gehört		
9/16/2014 8:39:51	Windows	noch nie gehört		
9/16/2014 11:59:55	Was exotisches	noch nie gehört		
9/17/2014 8:05:36	Windows	noch nie gehört		
9/17/2014 13:15:23	OS X	noch nie gehört		
9/20/2014 8:21:39	Windows	noch nie gehört		Da ich sowohl am 26.9 (HöMa2) als auch am 29.9(MedizinPhysik) Klausuren habe, kann ich an den Terminen vorher nicht teilnehmen. Ich hoffe dennoch, dass es Sinn macht, die Termine danach zu besuchen.
9/21/2014 11:39:02	Windows	noch nie gehört		
9/21/2014 13:38:26	Windows	mal probiert		
9/21/2014 23:25:37	Windows	noch nie gehört		
9/22/2014 3:57:55	Windows	noch nie gehört		
9/28/2014 1:49:02	Windows	noch nie gehört		
9/28/2014 5:25:26	Windows	noch nie gehört		
9/28/2014 11:24:54	Windows	noch nie gehört		
